Date,JKT,BDG,YKK,SMG,SBY
31/12/2021,PPKM Level 3,PPKM Level 3,PPKM Level 3,PPKM Level 3,PPKM Level 3
01/01/2022,PPKM Level 3,PPKM Level 3,PPKM Level 3,PPKM Level 3,PPKM Level 3
02/01/2022,PPKM Level 3,PPKM Level 3,PPKM Level 3,PPKM Level 3,PPKM Level 3
03/01/2022,PPKM Level 3,PPKM Level 3,PPKM Level 3,PPKM Level 3,PPKM Level 3
04/01/2022,PPKM Level 2,PPKM Level 2,PPKM Level 2,PPKM Level 2,PPKM Level 1
05/01/2022,PPKM Level 2,PPKM Level 2,PPKM Level 2,PPKM Level 2,PPKM Level 1
06/01/2022,PPKM Level 2,PPKM Level 2,PPKM Level 2,PPKM Level 2,PPKM Level 1
07/01/2022,PPKM Level 2,PPKM Level 2,PPKM Level 2,PPKM Level 2,PPKM Level 1
08/01/2022,PPKM Level 2,PPKM Level 2,PPKM Level 2,PPKM Level 2,PPKM Level 1
09/01/2022,PPKM Level 2,PPKM Level 2,PPKM Level 2,PPKM Level 2,PPKM Level 1
10/01/2022,PPKM Level 2,PPKM Level 2,PPKM Level 2,PPKM Level 2,PPKM Level 1
11/01/2022,PPKM Level 2,PPKM Level 2,PPKM Level 2,PPKM Level 2,PPKM Level 1
12/01/2022,PPKM Level 2,PPKM Level 2,PPKM Level 2,PPKM Level 2,PPKM Level 1
13/01/2022,PPKM Level 2,PPKM Level 2,PPKM Level 2,PPKM Level 2,PPKM Level 1
14/01/2022,PPKM Level 2,PPKM Level 2,PPKM Level 2,PPKM Level 2,PPKM Level 1
15/01/2022,PPKM Level 2,PPKM Level 2,PPKM Level 2,PPKM Level 2,PPKM Level 1
16/01/2022,PPKM Level 2,PPKM Level 2,PPKM Level 2,PPKM Level 2,PPKM Level 1
17/01/2022,PPKM Level 2,PPKM Level 2,PPKM Level 2,PPKM Level 2,PPKM Level 1
18/01/2022,PPKM Level 2,PPKM Level 2,PPKM Level 2,PPKM Level 1,PPKM Level 1
19/01/2022,PPKM Level 2,PPKM Level 2,PPKM Level 2,PPKM Level 1,PPKM Level 1
20/01/2022,PPKM Level 2,PPKM Level 2,PPKM Level 2,PPKM Level 1,PPKM Level 1
21/01/2022,PPKM Level 2,PPKM Level 2,PPKM Level 2,PPKM Level 1,PPKM Level 1
22/01/2022,PPKM Level 2,PPKM Level 2,PPKM Level 2,PPKM Level 1,PPKM Level 1
23/01/2022,PPKM Level 2,PPKM Level 2,PPKM Level 2,PPKM Level 1,PPKM Level 1
24/01/2022,PPKM Level 2,PPKM Level 2,PPKM Level 2,PPKM Level 1,PPKM Level 1
25/01/2022,PPKM Level 2,PPKM Level 2,PPKM Level 2,PPKM Level 1,PPKM Level 1
26/01/2022,PPKM Level 2,PPKM Level 2,PPKM Level 2,PPKM Level 1,PPKM Level 1
27/01/2022,PPKM Level 2,PPKM Level 2,PPKM Level 2,PPKM Level 1,PPKM Level 1
28/01/2022,PPKM Level 2,PPKM Level 2,PPKM Level 2,PPKM Level 1,PPKM Level 1
29/01/2022,PPKM Level 2,PPKM Level 2,PPKM Level 2,PPKM Level 1,PPKM Level 1
30/01/2022,PPKM Level 2,PPKM Level 2,PPKM Level 2,PPKM Level 1,PPKM Level 1
31/01/2022,PPKM Level 2,PPKM Level 2,PPKM Level 2,PPKM Level 1,PPKM Level 1
01/02/2022,PPKM Level 2,PPKM Level 2,PPKM Level 2,PPKM Level 1,PPKM Level 1
02/02/2022,PPKM Level 2,PPKM Level 2,PPKM Level 2,PPKM Level 1,PPKM Level 1
03/02/2022,PPKM Level 2,PPKM Level 2,PPKM Level 2,PPKM Level 1,PPKM Level 1
04/02/2022,PPKM Level 2,PPKM Level 2,PPKM Level 2,PPKM Level 1,PPKM Level 1
05/02/2022,PPKM Level 2,PPKM Level 2,PPKM Level 2,PPKM Level 1,PPKM Level 1
06/02/2022,PPKM Level 2,PPKM Level 2,PPKM Level 2,PPKM Level 1,PPKM Level 1
07/02/2022,PPKM Level 2,PPKM Level 2,PPKM Level 2,PPKM Level 1,PPKM Level 1
08/02/2022,PPKM Level 3,PPKM Level 3,PPKM Level 3,PPKM Level 1,PPKM Level 2
09/02/2022,PPKM Level 3,PPKM Level 3,PPKM Level 3,PPKM Level 1,PPKM Level 2
10/02/2022,PPKM Level 3,PPKM Level 3,PPKM Level 3,PPKM Level 1,PPKM Level 2
11/02/2022,PPKM Level 3,PPKM Level 3,PPKM Level 3,PPKM Level 1,PPKM Level 2
12/02/2022,PPKM Level 3,PPKM Level 3,PPKM Level 3,PPKM Level 1,PPKM Level 2
13/02/2022,PPKM Level 3,PPKM Level 3,PPKM Level 3,PPKM Level 1,PPKM Level 2
14/02/2022,PPKM Level 3,PPKM Level 3,PPKM Level 3,PPKM Level 1,PPKM Level 2
15/02/2022,PPKM Level 3,PPKM Level 3,PPKM Level 3,PPKM Level 2,PPKM Level 3
16/02/2022,PPKM Level 3,PPKM Level 3,PPKM Level 3,PPKM Level 2,PPKM Level 3
17/02/2022,PPKM Level 3,PPKM Level 3,PPKM Level 3,PPKM Level 2,PPKM Level 3
18/02/2022,PPKM Level 3,PPKM Level 3,PPKM Level 3,PPKM Level 2,PPKM Level 3
19/02/2022,PPKM Level 3,PPKM Level 3,PPKM Level 3,PPKM Level 2,PPKM Level 3
20/02/2022,PPKM Level 3,PPKM Level 3,PPKM Level 3,PPKM Level 2,PPKM Level 3
21/02/2022,PPKM Level 3,PPKM Level 3,PPKM Level 3,PPKM Level 2,PPKM Level 3
22/02/2022,PPKM Level 3,PPKM Level 3,PPKM Level 3,PPKM Level 3,PPKM Level 3
23/02/2022,PPKM Level 3,PPKM Level 3,PPKM Level 3,PPKM Level 3,PPKM Level 3
24/02/2022,PPKM Level 3,PPKM Level 3,PPKM Level 3,PPKM Level 3,PPKM Level 3
25/02/2022,PPKM Level 3,PPKM Level 3,PPKM Level 3,PPKM Level 3,PPKM Level 3
26/02/2022,PPKM Level 3,PPKM Level 3,PPKM Level 3,PPKM Level 3,PPKM Level 3
27/02/2022,PPKM Level 3,PPKM Level 3,PPKM Level 3,PPKM Level 3,PPKM Level 3
28/02/2022,PPKM Level 3,PPKM Level 3,PPKM Level 3,PPKM Level 3,PPKM Level 3
01/03/2022,PPKM Level 3,PPKM Level 3,PPKM Level 3,PPKM Level 3,PPKM Level 3
02/03/2022,PPKM Level 3,PPKM Level 3,PPKM Level 3,PPKM Level 3,PPKM Level 3
03/03/2022,PPKM Level 3,PPKM Level 3,PPKM Level 3,PPKM Level 3,PPKM Level 3
04/03/2022,PPKM Level 3,PPKM Level 3,PPKM Level 3,PPKM Level 3,PPKM Level 3
05/03/2022,PPKM Level 3,PPKM Level 3,PPKM Level 3,PPKM Level 3,PPKM Level 3
06/03/2022,PPKM Level 3,PPKM Level 3,PPKM Level 3,PPKM Level 3,PPKM Level 3
07/03/2022,PPKM Level 3,PPKM Level 3,PPKM Level 3,PPKM Level 3,PPKM Level 3
08/03/2022,PPKM Level 2,PPKM Level 3,PPKM Level 4,PPKM Level 3,PPKM Level 2
09/03/2022,PPKM Level 2,PPKM Level 3,PPKM Level 4,PPKM Level 3,PPKM Level 2
10/03/2022,PPKM Level 2,PPKM Level 3,PPKM Level 4,PPKM Level 3,PPKM Level 2
11/03/2022,PPKM Level 2,PPKM Level 3,PPKM Level 4,PPKM Level 3,PPKM Level 2
12/03/2022,PPKM Level 2,PPKM Level 3,PPKM Level 4,PPKM Level 3,PPKM Level 2
13/03/2022,PPKM Level 2,PPKM Level 3,PPKM Level 4,PPKM Level 3,PPKM Level 2
14/03/2022,PPKM Level 2,PPKM Level 3,PPKM Level 4,PPKM Level 3,PPKM Level 2
15/03/2022,PPKM Level 2,PPKM Level 3,PPKM Level 4,PPKM Level 3,PPKM Level 2
16/03/2022,PPKM Level 2,PPKM Level 3,PPKM Level 4,PPKM Level 3,PPKM Level 2
17/03/2022,PPKM Level 2,PPKM Level 3,PPKM Level 4,PPKM Level 3,PPKM Level 2
18/03/2022,PPKM Level 2,PPKM Level 3,PPKM Level 4,PPKM Level 3,PPKM Level 2
19/03/2022,PPKM Level 2,PPKM Level 3,PPKM Level 4,PPKM Level 3,PPKM Level 2
20/03/2022,PPKM Level 2,PPKM Level 3,PPKM Level 4,PPKM Level 3,PPKM Level 2
21/03/2022,PPKM Level 2,PPKM Level 3,PPKM Level 4,PPKM Level 3,PPKM Level 2
22/03/2022,PPKM Level 2,PPKM Level 2,PPKM Level 3,PPKM Level 2,PPKM Level 1
23/03/2022,PPKM Level 2,PPKM Level 2,PPKM Level 3,PPKM Level 2,PPKM Level 1
24/03/2022,PPKM Level 2,PPKM Level 2,PPKM Level 3,PPKM Level 2,PPKM Level 1
25/03/2022,PPKM Level 2,PPKM Level 2,PPKM Level 3,PPKM Level 2,PPKM Level 1
26/03/2022,PPKM Level 2,PPKM Level 2,PPKM Level 3,PPKM Level 2,PPKM Level 1
27/03/2022,PPKM Level 2,PPKM Level 2,PPKM Level 3,PPKM Level 2,PPKM Level 1
28/03/2022,PPKM Level 2,PPKM Level 2,PPKM Level 3,PPKM Level 2,PPKM Level 1
29/03/2022,PPKM Level 2,PPKM Level 2,PPKM Level 3,PPKM Level 2,PPKM Level 1
30/03/2022,PPKM Level 2,PPKM Level 2,PPKM Level 3,PPKM Level 2,PPKM Level 1
31/03/2022,PPKM Level 2,PPKM Level 2,PPKM Level 3,PPKM Level 2,PPKM Level 1
01/04/2022,PPKM Level 2,PPKM Level 2,PPKM Level 3,PPKM Level 2,PPKM Level 1
02/04/2022,PPKM Level 2,PPKM Level 2,PPKM Level 3,PPKM Level 2,PPKM Level 1
03/04/2022,PPKM Level 2,PPKM Level 2,PPKM Level 3,PPKM Level 2,PPKM Level 1
04/04/2022,PPKM Level 2,PPKM Level 2,PPKM Level 3,PPKM Level 2,PPKM Level 1
05/04/2022,PPKM Level 2,PPKM Level 2,PPKM Level 3,PPKM Level 1,PPKM Level 1
06/04/2022,PPKM Level 2,PPKM Level 2,PPKM Level 3,PPKM Level 1,PPKM Level 1
07/04/2022,PPKM Level 2,PPKM Level 2,PPKM Level 3,PPKM Level 1,PPKM Level 1
08/04/2022,PPKM Level 2,PPKM Level 2,PPKM Level 3,PPKM Level 1,PPKM Level 1
09/04/2022,PPKM Level 2,PPKM Level 2,PPKM Level 3,PPKM Level 1,PPKM Level 1
10/04/2022,PPKM Level 2,PPKM Level 2,PPKM Level 3,PPKM Level 1,PPKM Level 1
11/04/2022,PPKM Level 2,PPKM Level 2,PPKM Level 3,PPKM Level 1,PPKM Level 1
12/04/2022,PPKM Level 2,PPKM Level 2,PPKM Level 3,PPKM Level 1,PPKM Level 1
13/04/2022,PPKM Level 2,PPKM Level 2,PPKM Level 3,PPKM Level 1,PPKM Level 1
